Lemah Lembut,Dapat mempengaruhi orang lain untuk setuju,Rendah hati,Kreatif
Menarik,Menuruti perinta,Berpendirian kuat,Menyenangkan
Mudah diarahkan,Berani bertindak,Dapat diandalkan,Disukai orang
Mau menerima gagasan baru,Berusaha menyenangkan orang lain,Pantang menyerah,Periang
Riang gembira,Tepat dan akurat,Memiliki keberanian,Emosi stabil
Suka berkompetisi,Penuh pertimbangan,Riang gembira,Menghindari konflik
Ingin segalannya akurat,Mengikuti peraturan,Ingin selalu menang,Suka bergurau
Berani,Memberi inspirasi,Bersedia mengalah,Pemalu
Suka bergaul dan bersahabat,Sabar menunggu,Mandiri,Berbicara dengan lembut
Pengambil risiko,Mudah menerima saran,Bersikap sopan,Tenang
Suka berbicara,Mudah mengendalikan diri,Bekerja sesuai dengan kebiasaan,Suka mengambil keputusan
Tampil tenang,Berani ambil risiko,Diplomatis,Merasa puas
Bekerja dengan cepat,Sangat antusias,Mudah dimanfaatkan,Mudah cemas
Menghindari kesulitan,Berkemauan keras,Meyakinkan,Baik dan tulus hati
Bersedia membantu,Berkeinginan kuat,Penurut,Penuh semangat
Percaya diri,Prihatin terhadap sesama,Toleransi,Berani mempertahankan hak
Berdisiplin tinggi,Bersedia berbagi,Mendramatisir,Menyelesaikan tugas
Mudah dikagumi,Baik hati,Pasrah,Bertekad mencapai hasil
Bersikap hormat,Ingin memimpin,Optimis,Mengerjakan sesuatu untuk orang lain
Suka berdebat,Mudah menyesuaikan diri,Bersikap santai,Periang
Mudah percaya,Puas terhadap diri sendiri,Berpikir positif,Tidak suka bersilang pendapat/berdebat
Mudah menyesuaikan diri,Bersikap sewajarnya,Bersemangat tinggi,Peduli pada sesama
Suka berkawan,Ingin segala sesuatu berjalan dengan benar,Berterus terang,Mengendalikan emosi
Suka menyibukkan diri,Senang membantu,Ingin dikenal,Setia
