menemukan : menghilangkan =  mengingat : ?,melupakan,berpikir ,memimpikan,menghafal,mengenai
bunga : jambangan = burung : ?,pagar,pohon,sangkar,sarang,langit
kereta api : rel = otobis : ?,ban,jalan raya,kecepatan,roda,poros
perak : emas = cincin : ?,permata,gelang,platina,arloji,berlian
linkaran : bola = bujursangkar : ?,segi empat,kubus,piramida,bentuk,gambar
saran : keputusan = merundingkan : ?,menilai,menimbang,merenungkan,menawarkan,menentukan
lidah : asam = hidung : ?,mengecap,tengik,asin,mencium,bernapas
darah : pembuluh = air : ?,talang,hujan,ember,pintu air,sungai
saraf : penyalur = pupil : ?,melihat,cahaya,pelindung,penyinaran,mata
pengantar surat : pengantar telegram = pandai besi : ?,api,tukang emas,besi tempa,palu godam,pedagang besi
buta : warna = tuli : ?,nada,kata,telinga,pendengaran,mendengar
makanan : bumbu = ceramah : ?,kelakar,kesah,ayat,penghinaan,pidato
marah : emosi = duka cita : ?,suasana hati,sedih,rindu,suka cita,sakit hati
mantel : jubah = wool : ?,sutera,jas,tekstil,bahan sandang,domba
ketinggian puncak : tekanan udara = ketinggian nada : ?,nyanyuan,panjang senar,suara,garpu penala,sopran
negara : revolusi = hidup : ?,mutasi,seleksi,ilmu hewan,biologi,keturunan
kekurangan : penemuan = panas : ?,es,matahari,dingin,haus,khatulistiwa
kayu : diketam = besi : ?,dituang,dikikir,ditempa,dipalu,digergaji
olahragawan : lembing = cendekiawan : ?,karya,studi,mikroskop,perpustakaan,penelitian
keledai : kuda pacuan = pembakaran : ?,letupan,korek api,lautan api,pemadam api,obor
